,action_id,action_type_label,action_subcategory_label,action_start_date,action_year,action_end_date,action_collection_year,action_collection,action_universe,action_category_label,action_channel,action_label,client_id,client_is_present,client_is_invited,duration,duration_days,gain_user,cluster_not_attending_gain,real_gain_event
0,a654760,Collection,Collection,2022-04-07,2022,2022-04-11,2022,Mid-Season Jewelry and Timepieces,Timepieces and Jewelry,Retail,In store,Exclusive Offer,c23083988,1,1,4 days,4.0,-9812.603115727003,0.0,-9812.603115727003
1,a979979,Collection,Collection,2021-10-20,2021,2021-10-21,2021,Sailor Collection,Women's Fashion,Retail,In store,Exclusive Offer,c40865409,1,1,1 days,1.0,-10055.47908921933,0.0,-10055.47908921933
2,a803469,Collection,Collection,2020-10-29,2020,2020-10-29,2020,Spring Collection,Men's Fashion,Retail,In store,Social Gathering,c95435465,1,1,0 days,0.0,-2150.690710382514,0.0,-2150.690710382514
3,a887515,Collection,Collection,2022-01-11,2022,2022-01-11,2022,Formal Retail Action,Men's Fashion,Retail,In store,Social Gathering,c58792918,1,1,0 days,0.0,-10504.758549649774,0.0,-10504.758549649774
4,a233620,Collection,Collection,2021-05-27,2021,2021-06-21,2021,Mid-Season Jewelry and Timepieces,Timepieces and Jewelry,Retail,,Exclusive Offer,c34394230,1,1,25 days,25.0,16032.332879818594,0.0,16032.332879818594
5,a679881,Collection,Collection,2022-03-12,2022,2022-03-12,2022,Spring-Summer Collection,Infant and Toddler,Retail,In store,Exclusive Offer,c49971684,0,1,0 days,0.0,,,
6,a417155,Collection,Collection,2021-10-20,2021,2021-10-24,2021,Sailor Collection,Women's Fashion,Retail,In store,Special Tailored Service,c86258898,1,1,4 days,4.0,-10055.47908921933,0.0,-10055.47908921933
7,a134864,Collection,Collection,2020-05-22,2020,2020-05-25,2020,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c45803605,1,1,3 days,3.0,-7332.991626794259,0.0,-7332.991626794259
8,a220527,Collection,Collection,2020-12-18,2020,2020-12-31,2020,Art Collection,Women's Fashion,Retail,,Exclusive Offer,c84522242,1,1,13 days,13.0,-9462.542935029533,0.0,-9462.542935029533
9,a903284,Collection,Collection,2021-11-12,2021,2021-11-14,2021,Sailor Collection,Women's Fashion,Retail,In store,Exclusive Offer,c66937472,0,1,2 days,2.0,,,
10,a475646,Collection,Collection,2022-04-18,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c42732644,0,1,4 days,4.0,,,
11,a263011,Collection,Collection,2021-08-26,2021,2021-08-29,2021,Winter Collection,Men's Fashion,Retail,In store,Exclusive Offer,c91155842,1,1,3 days,3.0,-8853.779442363711,0.0,-8853.779442363711
12,a054715,Business Treatment,Special Client,2020-11-02,2020,2020-11-02,2020,Fall Collection,Men's Fashion,Client,Outside venue,Business Engagement,c41404743,1,1,0 days,0.0,-9889.72312703583,0.0,-9889.72312703583
13,a702813,Collection,Collection,2020-08-06,2020,2020-08-07,2020,Winter Collection,Women's Fashion,Retail,,Exclusive Offer,c48942012,1,1,1 days,1.0,-8318.098214285714,0.0,-8318.098214285714
14,a448362,Social Celebrity Action,Collection,2020-02-14,2020,2020-02-16,2020,Retail Action,Women's Fashion,Retail,In store,Lunar New Year Celebration,c47985742,1,1,2 days,2.0,-5338.366666666667,0.0,-5338.366666666667
15,a766668,Collection,Collection,2020-03-05,2020,2020-03-05,2020,Timepieces Collection,Timepieces and Jewelry,Retail,In store,Exclusive Offer,c04639527,1,1,0 days,0.0,3141.743517869657,0.0,3141.743517869657
16,a710074,Collection,Collection,2020-06-19,2020,2020-06-20,2020,Fall Collection,Women's Fashion,Retail,In store,Luxurious Fur Showcase,c74714177,1,1,1 days,1.0,-9437.95956284153,0.0,-9437.95956284153
17,a412994,Social Celebrity Action,Collection,2021-11-19,2021,2021-11-19,2021,Retail Action,Women's Fashion,Retail,,Holiday Celebration,c97179880,1,1,0 days,0.0,-11088.44847605225,0.0,-11088.44847605225
18,a757763,Collection,Collection,2021-11-04,2021,2021-11-08,2021,Spring Collection,Men's Fashion,Retail,In store,Exclusive Offer,c53227592,1,1,4 days,4.0,-10561.598659003832,0.0,-10561.598659003832
19,a114760,Collection,Collection,2021-11-19,2021,2021-11-22,2021,Spring Collection,Men's Fashion,Retail,In store,Exclusive Offer,c35134852,0,1,3 days,3.0,,,
20,a673521,Collection,Collection,2021-11-24,2021,2021-11-27,2021,Spring Collection,Men's Fashion,Retail,In store,Exclusive Offer,c53227592,0,1,3 days,3.0,,,
21,a049423,Collection,Collection,2020-12-16,2020,2020-12-16,2020,Sailor Collection,Women's Fashion,Retail,In store,Social Gathering,c27838003,1,1,0 days,0.0,-9445.167675826735,0.0,-9445.167675826735
22,a616300,Social Celebrity Action,Collection,2021-12-11,2021,2021-12-11,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c87251702,1,1,0 days,0.0,-11214.314988814318,0.0,-11214.314988814318
23,a727548,Collection,Collection,2020-10-26,2020,2020-11-01,2020,Sailor Collection,Women's Fashion,Retail,Outside venue,Outdoor Event,c82410792,1,1,6 days,6.0,3823.934146341464,0.0,3823.934146341464
24,a219630,Collection,Collection,2022-01-27,2022,2022-01-30,2022,Summer Collection,Men's Fashion,Retail,In store,Exclusive Offer,c34700059,1,1,3 days,3.0,-10212.436758084323,0.0,-10212.436758084323
25,a721182,Collection,Collection,2022-04-23,2022,2022-04-26,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c58714054,1,1,3 days,3.0,-8856.009118541033,0.0,-8856.009118541033
26,a721182,Collection,Collection,2022-04-23,2022,2022-04-26,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c00316219,0,1,3 days,3.0,,,
27,a712159,Collection,Collection,2020-03-10,2020,2020-03-12,2020,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c94753179,0,1,2 days,2.0,,,
28,a501847,Business Treatment,Special Client,2020-11-02,2020,2020-11-02,2020,Fall Collection,Men's Fashion,Client,Outside venue,Business Engagement,c22633916,1,1,0 days,0.0,-9889.72312703583,0.0,-9889.72312703583
